business_age_years,num_employees,gst_filing_rate,avg_monthly_revenue,revenue_growth_6m,cash_flow_volatility,upi_txn_volume_monthly,vendor_payment_delay_days,utility_payment_ontime_rate,bank_balance_avg,loan_amount,loan_tenure_months,interest_rate,previous_loans_count,previous_default_count,default,financial_health_score,loan_to_revenue_ratio,payment_behavior_score,is_mature_business,digital_adoption_score,revenue_stress,high_risk_loan,balance_to_loan_ratio,repeat_defaulter,monthly_emi_burden,industry_Construction,industry_Food,industry_Manufacturing,industry_Retail,industry_Services,industry_Technology,location_tier_Tier1,location_tier_Tier2,location_tier_Tier3
7,86,0.4806307258257007,2964946.0858445065,-0.0965390153667988,0.5072842919685088,1671,44,0.8583294718009227,195404.2043392661,1236739,36,21.82715064070448,3,2,1,0.5499,0.4171,0.6847,1,0.8714,0,0,0.158,1,0.0116,False,False,False,True,False,False,False,False,True
15,89,0.3510719047390683,4967412.690280288,-0.1231390684534352,0.5551267662598658,2760,53,0.4772418894471829,697278.9663510408,4999089,36,9.98661993278386,4,1,1,0.4213,1.0064,0.4442,1,0.9303,1,0,0.1395,1,0.028,True,False,False,False,False,False,False,True,False
11,138,0.8115336112973095,4411417.262098056,0.0712183489993226,0.9043304762181068,323,50,0.7202246847230048,902332.9139479884,626633,60,17.435520098179463,1,0,0,0.5673,0.142,0.5823,1,0.6787,0,0,1.44,0,0.0024,False,False,False,False,True,False,True,False,False
8,113,0.5093561481587879,2704832.635166225,0.2761496784223647,0.6384895862874203,4946,86,0.5849795153662483,1597697.3598699346,1561249,24,13.607510839397854,2,0,1,0.5335,0.5772,0.3147,1,0.9987,0,0,1.0233,0,0.0241,True,False,False,False,False,False,False,True,False
7,157,0.6166619239163105,4952353.8886877,0.5288459758762544,0.9120676349811448,1867,22,0.8513519660699231,1851275.2392782213,1862235,36,16.457606663744798,2,0,1,0.6022,0.376,0.8035,1,0.8844,0,0,0.9941,0,0.0104,False,False,False,False,True,False,True,False,False
19,168,0.3893666444876137,3521780.8155764425,-0.258642756867896,0.1457300664704286,3737,28,0.8824700521383304,1067240.3046336498,2699200,12,18.000964391866518,2,0,0,0.5754,0.7664,0.7857,1,0.9658,1,0,0.3954,0,0.0639,False,True,False,False,False,False,False,False,True
11,193,0.8617838123762056,1083067.0599019562,-0.0035318792482663,0.8119756685951635,1532,5,0.4396547437374827,996332.8924468368,2848381,48,21.60925631805041,2,0,0,0.5335,2.6299,0.692,1,0.8612,0,0,0.3498,0,0.0548,False,False,True,False,False,False,False,False,True
11,21,0.6958723138468403,2057701.2416572417,-0.3330104074873701,0.3518731652207817,75,38,0.515562741584479,433891.92796727805,2678877,36,8.994104730658533,0,0,0,0.5415,1.3019,0.5467,1,0.5085,1,0,0.162,0,0.0362,False,True,False,False,False,False,True,False,False
4,152,0.931109938346904,1705742.0033571776,0.3585507474717424,0.7794387725633071,448,4,0.9355864657416372,907851.2719629668,1359710,48,11.041742276564731,1,2,1,0.7143,0.7971,0.9456,0,0.717,0,0,0.6677,1,0.0166,False,False,False,False,True,False,False,True,False
8,188,0.6468300941457333,1752867.8559423864,0.0477328896813606,0.8200729617754806,4699,39,0.6493677019605201,1848052.02023535,1708520,24,22.782408989844896,2,2,1,0.5171,0.9747,0.608,1,0.9927,0,0,1.0817,1,0.0406,False,False,False,False,True,False,True,False,False
3,154,0.9589979702725158,3814259.374831338,0.3069291351881851,0.2943390975283002,391,89,0.6860415192238273,791870.0771840092,1364286,12,23.49269600381044,1,0,0,0.7621,0.3577,0.3486,0,0.7011,0,0,0.5804,0,0.0298,False,False,False,False,True,False,False,False,True
2,9,0.9243077430669282,2942101.4900003285,-0.0778055760237127,0.417947554863931,1874,77,0.5008143049975399,429258.15072391526,3587398,12,9.359051588010438,1,0,0,0.6322,1.2193,0.3226,0,0.8848,0,0,0.1197,0,0.1016,False,False,False,False,False,True,False,True,False
12,148,0.7035218995214637,238558.92236816627,0.4443172414063234,0.7034129188834136,4653,81,0.9969368779005956,681217.1081182348,1452276,60,13.642706915211772,3,0,0,0.6864,6.0877,0.5485,1,0.9916,0,1,0.4691,0,0.1015,False,False,False,True,False,False,False,True,False
6,184,0.9537254067049044,4393369.994072331,0.1348280782401146,0.1391500678072736,2016,20,0.9538286097035956,1034043.2791439953,2769589,60,8.650814593392228,0,0,0,0.8193,0.6304,0.8658,1,0.8934,0,0,0.3734,0,0.0105,False,False,True,False,False,False,False,True,False
2,36,0.5261621231061866,1519140.8953768143,0.5436078218236551,0.729980180905406,2926,58,0.4012148025893462,1201184.2108931462,4309794,24,20.24044420451843,3,2,0,0.5236,2.837,0.3784,0,0.9371,0,0,0.2787,1,0.1182,False,True,False,False,False,False,True,False,False
