business_id,business_name,business_age_years,industry,location_tier,num_employees,gst_filing_rate,avg_monthly_revenue,revenue_growth_6m,cash_flow_volatility,upi_txn_volume_monthly,vendor_payment_delay_days,utility_payment_ontime_rate,bank_balance_avg,loan_amount,loan_tenure_months,interest_rate,previous_loans_count,previous_default_count,default
990582ee,Kurian-Munshi,7,Retail,Tier3,86,0.48063072582570077,2964946.0858445065,-0.09653901536679887,0.5072842919685088,1671,44,0.8583294718009227,195404.20433926614,1236739,36,21.82715064070448,3,2,1
2330ca24,Kannan-Pant,15,Construction,Tier2,89,0.35107190473906835,4967412.6902802875,-0.12313906845343525,0.5551267662598658,2760,53,0.47724188944718293,697278.9663510408,4999089,36,9.98661993278386,4,1,1
fc3f0588,Sundaram-Sanghvi,11,Services,Tier1,138,0.8115336112973095,4411417.262098056,0.07121834899932267,0.9043304762181069,323,50,0.7202246847230048,902332.9139479884,626633,60,17.435520098179463,1,0,0
3b299ff8,Bala LLC,8,Construction,Tier2,113,0.5093561481587879,2704832.635166225,0.2761496784223647,0.6384895862874203,4946,86,0.5849795153662483,1597697.3598699346,1561249,24,13.607510839397854,2,0,1
b8a988b4,Sood-Bali,7,Services,Tier1,157,0.6166619239163105,4952353.8886877,0.5288459758762544,0.9120676349811447,1867,22,0.8513519660699231,1851275.2392782215,1862235,36,16.457606663744798,2,0,1
d405a7f1,"Nagar, Borra and Varkey",19,Food,Tier3,168,0.3893666444876137,3521780.8155764425,-0.25864275686789606,0.1457300664704286,3737,28,0.8824700521383304,1067240.3046336498,2699200,12,18.000964391866518,2,0,0
c548ddc5,"Golla, Yohannan and Narasimhan",11,Manufacturing,Tier3,193,0.8617838123762056,1083067.0599019562,-0.0035318792482663675,0.8119756685951635,1532,5,0.4396547437374827,996332.8924468369,2848381,48,21.609256318050406,2,0,0
eed2bfaf,Sule-Devan,11,Food,Tier1,21,0.6958723138468403,2057701.2416572417,-0.3330104074873701,0.3518731652207817,75,38,0.515562741584479,433891.92796727805,2678877,36,8.994104730658533,0,0,0
0299b971,"Rajan, Nadig and Grover",4,Services,Tier2,152,0.9311099383469039,1705742.0033571776,0.3585507474717424,0.7794387725633071,448,4,0.9355864657416373,907851.2719629668,1359710,48,11.041742276564733,1,2,1
1246ff10,Venkataraman-Bhat,8,Services,Tier1,188,0.6468300941457333,1752867.8559423864,0.04773288968136069,0.8200729617754806,4699,39,0.6493677019605201,1848052.02023535,1708520,24,22.782408989844896,2,2,1
d4dee685,Brar-Panchal,3,Services,Tier3,154,0.9589979702725158,3814259.374831338,0.3069291351881851,0.29433909752830023,391,89,0.6860415192238273,791870.0771840092,1364286,12,23.492696003810437,1,0,0
d4b59372,Natt-Barman,2,Technology,Tier2,9,0.9243077430669282,2942101.4900003285,-0.07780557602371274,0.417947554863931,1874,77,0.5008143049975399,429258.15072391526,3587398,12,9.359051588010438,1,0,0
6b03d427,Sawhney PLC,12,Retail,Tier2,148,0.7035218995214637,238558.92236816627,0.44431724140632345,0.7034129188834136,4653,81,0.9969368779005957,681217.1081182348,1452276,60,13.642706915211772,3,0,0
2bdeef01,Misra Ltd,6,Manufacturing,Tier2,184,0.9537254067049044,4393369.994072331,0.13482807824011467,0.1391500678072736,2016,20,0.9538286097035955,1034043.2791439953,2769589,60,8.650814593392228,0,0,0
9acf47c6,Sandal-Karan,2,Food,Tier1,36,0.5261621231061866,1519140.8953768145,0.5436078218236551,0.729980180905406,2926,58,0.4012148025893462,1201184.2108931462,4309794,24,20.24044420451843,3,2,0
a99ebb35,Chahal-Golla,1,Food,Tier2,36,0.555949513892948,4985520.640720061,-0.32118536085596583,0.14942563344926962,3356,88,0.730440809594731,870535.4604839367,741215,36,19.07007279373525,4,1,0
7c6f00aa,Sethi Group,12,Construction,Tier1,73,0.33183456591422583,4773244.11515719,0.11427682454207433,0.8730101590412522,284,19,0.9233604301618927,1519486.997285202,3478948,12,17.254479288678823,4,2,1
71b6727f,Kade and Sons,12,Services,Tier2,150,0.7124406347346971,4705627.047575728,0.36645524599769863,0.29870536396671804,775,23,0.6583201637403762,1173062.2303923464,2632163,24,19.220748185461257,4,0,0
d72e4ec4,"Bali, Ganesh and Choudhary",17,Services,Tier1,1,0.8053467789502533,4065081.6401166697,0.20015264807361466,0.5680394121806203,958,2,0.662088555146011,1333445.7866832577,1744786,24,16.835763794646212,3,0,0
0ec5e97e,"Doctor, Pai and Shankar",10,Services,Tier2,69,0.8414634331694721,1142035.9918335357,-0.37680585957315726,0.1554381500686455,4429,85,0.6276082940357736,1727208.6599763485,727365,36,12.20203822149722,1,2,1
4f91c154,Narain-Mallick,16,Food,Tier3,37,0.4048714002322723,2686532.082942471,0.5723386783438807,0.2925438391962308,1564,71,0.4172970010931941,1732720.2548425791,633471,12,20.192172891810078,4,2,1
c9395214,Keer-Patla,15,Construction,Tier3,72,0.6109113506187502,1160298.0027836242,-0.10173630692410163,0.4135595391383948,2502,56,0.8741700015122217,414981.5414811752,4064517,12,20.640805451506576,4,1,1
d23ae635,"Dave, Murty and Sathe",15,Retail,Tier3,107,0.42380424846574094,1335393.5051652987,-0.15072213363361797,0.4883439890147128,3451,70,0.6740711220346569,1250456.0422169731,4413768,12,21.740129342635633,3,1,0
dbe1e041,Rai LLC,19,Technology,Tier3,96,0.7634891441979741,3074211.258709573,0.0856598756065795,0.050060747881916993,3372,69,0.7186393830422355,1436115.3134729036,1507187,60,23.28818851615722,1,2,0
96d65212,Mahal PLC,12,Manufacturing,Tier1,141,0.41056246069523766,252126.04949766374,0.1421581075233489,0.8497901861424215,3552,69,0.553411070083983,300247.3769890937,1754344,12,20.086894981978453,4,2,1
e218ffab,"Parmar, Pall and Patla",3,Retail,Tier1,84,0.9329145787692523,4848819.905762503,0.36628813758982537,0.05690732860298941,2445,75,0.8704710952400917,1687111.9757472477,1141084,48,9.345521768765726,0,2,0
c6304bfd,"Rau, Mishra and Sodhi",5,Food,Tier2,43,0.4614442519629893,4597432.204260924,-0.0067263423410108825,0.7463161066949825,113,62,0.8762491280226689,369135.0254025493,883246,36,8.822997858970739,4,0,0
316014fa,Sharma-Balakrishnan,19,Technology,Tier3,37,0.5039815864017714,1934799.4821807132,0.03996037646221218,0.4735210211207338,4459,85,0.7317524901110556,1600566.0523169658,3423911,12,19.967995395920134,3,2,0
10983643,Goyal PLC,7,Technology,Tier3,25,0.8956344255056998,2601341.1176342196,0.13495991593383094,0.5214920224112387,960,46,0.9427767554800983,331316.85568066436,2301015,36,9.368789956371772,3,1,0
cc0a3461,"Varma, Gupta and Mander",9,Technology,Tier1,149,0.6209273271020066,2357291.1253754073,-0.005612900258359366,0.2374389314010868,3365,89,0.46953053843598513,1486139.2882538922,947645,36,13.397141273591513,0,0,0
40cc65bf,"Varma, Ahluwalia and Toor",7,Services,Tier2,169,0.3167971620600511,4416888.904156475,0.514548079101156,0.5966315153111337,3494,88,0.8719759987861596,304814.4779844609,4626665,48,10.610478256621485,1,2,1
0ba383b6,Bajwa PLC,18,Manufacturing,Tier1,73,0.646210375841852,3458579.2877647495,0.45125196663425216,0.5335087182525069,322,18,0.7351504853923987,763870.3286083527,3314010,12,23.51794851823353,0,0,1
703ff9da,"Pall, Loke and Tella",4,Food,Tier3,170,0.35918033476608613,1426650.6747505644,0.054973695077878304,0.1978127659582658,345,12,0.5386079002218696,295597.10560942313,3239468,36,13.404109408163954,4,0,0
ad04cf16,Chaudhuri Group,14,Food,Tier2,42,0.9897413030811175,2261864.2096032198,-0.3998051376626829,0.26430710121429724,4449,88,0.47938226959113694,548723.0416899931,2244251,12,9.354777076639984,3,0,1
e9864ce7,"Shukla, Rau and Oak",18,Technology,Tier1,2,0.7116780993189216,2173381.5796494805,0.5009344955292806,0.11021326611121145,2079,44,0.5806042241937031,1969184.4069334343,4681946,48,23.21891690899619,1,1,1
53e266c7,"Talwar, Kala and Kata",9,Food,Tier2,196,0.4795728323276849,4798709.083005398,-0.2756634265605348,0.10965521488050742,642,31,0.9137895508608712,224274.55557807352,730589,60,17.93553786831035,4,0,1
fdd57ff0,Dara-Deol,2,Manufacturing,Tier2,136,0.6946023756833324,917789.0070474662,-0.15548758480595382,0.06239820735718391,4501,29,0.8725716098056816,818865.0045715974,4514492,60,9.059690565609094,0,1,0
7371ced5,Issac-Sangha,15,Manufacturing,Tier3,96,0.35380697236722836,493402.8696074238,-0.24763871563460182,0.24842689293477538,4468,84,0.787079455490824,1357069.4883621905,1998557,60,21.417096118239208,4,1,0
e312bb9e,Vyas Group,7,Construction,Tier1,61,0.859923912988172,4409063.219200367,-0.22018443001897625,0.6616951046573502,2395,41,0.4541962046702065,198251.15509059877,377637,60,10.864194897405298,0,1,0
aa23c5ab,Raghavan-Sastry,12,Construction,Tier3,14,0.9477296377049145,4488595.6480540605,0.4028775378898347,0.3345938493281206,3993,71,0.9728983838459823,226975.64496487143,4960386,24,20.93776223399921,2,1,0
1d547603,"Dass, Doshi and Chaudhari",8,Retail,Tier2,113,0.9121110717443117,4365108.485165215,0.1795014416659242,0.35846084288063895,3198,41,0.5832640794252443,295093.11632251047,3480029,36,17.84265206620318,2,0,0
0b5f130b,Suresh LLC,15,Manufacturing,Tier3,77,0.539230321608994,2579335.732346504,0.5560951631253485,0.1687148539299002,3941,6,0.7641999900070351,1293522.8922857163,1314180,24,11.245285826864688,3,2,0
86567e04,Chander Ltd,3,Manufacturing,Tier3,21,0.528037683750358,3315734.919933829,-0.16854648767628355,0.567923600890778,4286,2,0.8818611224832604,1819580.4667786208,4446947,12,20.16526981767297,1,2,0
b78ce04e,Bhatnagar-Aggarwal,14,Manufacturing,Tier1,152,0.32456132785141,2838647.0854268703,0.08563490813123398,0.3579292773920635,2371,36,0.47971350067525487,1653719.0133976166,990317,60,15.544827121856006,3,2,1
4320bc53,"Wagle, Bala and Agarwal",17,Construction,Tier1,178,0.7559802510906417,393766.7389692846,0.57742836908247,0.6586851230871932,3007,2,0.7913180453535238,1966279.9263214085,2709168,12,18.390564566219798,4,2,0
d0141bf7,Gala PLC,4,Technology,Tier3,173,0.6744333489328564,2999382.739658576,0.4264435142747697,0.7173135219582981,4694,17,0.41937759802252755,1160494.3903527935,3053367,48,21.977469562381344,2,2,1
c5c5d697,Venkatesh and Sons,18,Technology,Tier1,192,0.6215424599291389,117390.02891769937,0.32861567912049106,0.5762235877235439,1570,41,0.4610735869026047,1923339.8361901897,702359,36,12.534620789149784,3,2,0
e947c475,Badami LLC,8,Food,Tier3,64,0.9353416673342949,1658687.6773075764,-0.2110247986292081,0.2984625831308326,797,8,0.8338861806562852,616818.9887787495,3130840,48,14.172555780935362,0,2,0
c4fbde1a,Nadig Group,4,Technology,Tier3,154,0.4175152307579924,4664848.250572177,0.3694054009097161,0.5077470194035288,3709,56,0.49304929334367653,848794.1417536709,1468663,36,23.95771267082442,1,2,1
580c31c0,"Khanna, Chad and Chaudhari",2,Services,Tier3,160,0.3067663866831276,1555024.0846972475,-0.05243487740408226,0.276737724214073,2405,23,0.6661040339832269,798122.322252598,1963777,48,16.37577428742341,2,1,1
4fa20235,Sarkar-Gole,6,Construction,Tier1,57,0.3513215164845358,4702141.881089027,0.13053689704675764,0.8626215518185263,359,6,0.5489995304664215,104241.38575501955,4741306,48,17.156791453148173,1,0,0
71939cf6,"Yadav, Pradhan and Suri",10,Manufacturing,Tier2,119,0.4563600064791582,1288163.087888759,0.20916121303954016,0.7397471750743015,4206,88,0.6527377052019653,1661113.4843957112,4497455,36,12.924297367385826,1,1,1
a6906985,Warrior-Gupta,4,Technology,Tier2,181,0.3232998844844199,1607083.0902845857,0.20936371152425404,0.49370531540500956,3900,41,0.44633214417488254,59189.195497813584,890965,12,14.948422415350763,2,2,0
b12bf3e8,Agate Inc,18,Construction,Tier1,161,0.6519905974501948,3160617.10737084,0.3265234719135164,0.9189114288603318,4518,57,0.8529403264245936,1462453.7396591734,2067502,48,16.274052081187758,0,2,1
43615e1e,"Balay, Khanna and Sharaf",12,Technology,Tier3,52,0.5198633186635047,3820053.515307009,0.26170209264220556,0.5420799020571692,4022,84,0.4474247064364687,820058.9174839754,1617539,36,12.505893259013359,0,2,1
89cc861b,Lall-Iyengar,2,Retail,Tier3,95,0.4263381056476928,2531869.451624176,-0.3316291206894102,0.3456819292612533,4742,55,0.902748698416282,22432.95499304912,2419000,36,12.191255422732231,0,0,1
b5223a73,Nayar-Lal,10,Manufacturing,Tier2,146,0.8250588524640634,4416472.651611069,0.05734702594910723,0.13592057071464236,2257,57,0.7975653185017367,586994.3366969709,507951,48,17.807235645893833,1,1,0
55bcf77a,"Kulkarni, Mander and Parekh",4,Retail,Tier3,163,0.443115928362771,249190.08697256527,0.2640216067199792,0.5393710803320722,569,17,0.6499513453985699,698794.1148784664,2471166,12,11.346597386954073,0,0,0
1f9ee5c9,"Zachariah, Oak and Tiwari",14,Manufacturing,Tier1,140,0.7813235706956552,4614864.451240134,-0.10400701783427135,0.824374950423211,3458,38,0.9198919260822951,1929757.9174094307,2543748,60,17.078594889424657,4,1,1
503bd74c,"Dave, Menon and Thaker",16,Construction,Tier2,179,0.5444854340933472,1021723.6094822697,-0.08694331278361034,0.8300468553408038,1307,49,0.5116787672057971,1325547.4042388375,720960,24,19.446317366102257,4,1,1
7236bf89,Misra-Khalsa,15,Food,Tier3,89,0.6582794324637882,4426981.788169047,-0.2754324522453845,0.5941103600144736,1755,32,0.5587385364488953,1091707.4670972193,138828,60,11.572993136818969,0,2,1
89f8d394,Yogi-Bhardwaj,8,Technology,Tier3,10,0.9537069278959238,2034272.7384575836,0.018614985974855336,0.40409452691079145,2595,27,0.482274196995524,262830.6227632895,1394441,48,20.061109957218434,0,1,0
63ec29ac,Barad-Vora,14,Technology,Tier2,52,0.326146144371069,4172147.4265616364,0.5868304343061747,0.6352666772816118,262,55,0.628941215974021,788297.6356305055,2036990,48,14.075107809600588,2,1,1
ee38c87e,Raju-Sem,8,Services,Tier3,34,0.6501851552342233,3374744.471528291,-0.11468063871196266,0.7359263191031356,1600,24,0.9920399108404525,81171.06366473233,2172519,36,23.88382033675568,2,0,1
e475b310,Chakraborty Ltd,16,Retail,Tier2,115,0.8980960722293327,920911.0807673974,0.13143689268609804,0.4204623059547135,1051,13,0.49661642668041683,1525753.9827600115,895435,12,23.67569055656091,3,1,1
e92902f4,Baral and Sons,13,Technology,Tier1,195,0.7115819738592439,4594335.47091317,0.34323725277908435,0.47862875229343277,2237,54,0.8985858915194792,333925.63736555824,1892779,12,20.878216819537535,1,0,1
baa9139a,"Kaul, Vyas and Mitter",18,Construction,Tier1,167,0.49380936187560964,1265311.0829178754,-0.38650272911572936,0.6625546766401487,2599,83,0.7911280430038432,1192927.044883338,3293341,48,13.812172036207542,1,1,0
31660ae7,Dugal-Magar,15,Food,Tier3,136,0.578376794601524,1258493.5875402454,0.5004395595982989,0.8389873454924718,4082,83,0.40948847836711577,1401789.161130074,2004989,12,23.026757128801922,2,0,0
67fbec5e,"Dhar, Merchant and Choudhary",13,Construction,Tier1,125,0.7761859401100022,4080185.5383550334,-0.013449815275061505,0.7619093403280474,3589,6,0.9669341157626201,739353.1641369014,1080643,24,23.981074580727938,4,2,0
655077f5,Nagy LLC,9,Retail,Tier2,157,0.9235683260196621,574072.6150839791,0.4691159867109822,0.07015223238831382,1645,3,0.9826547591349908,1268860.3726778892,3448945,12,15.665317756597563,3,1,1
3070da32,Tiwari LLC,15,Services,Tier2,150,0.3287464616226281,1149077.7365337787,-0.361052341100522,0.16193510940612904,1716,29,0.954940421116926,1530823.3946768984,1105528,12,18.026135403897513,2,0,0
52608b37,Chakraborty Ltd,13,Technology,Tier3,198,0.3500771753232635,2543203.9884342584,-0.25433644813632417,0.8175003622569695,53,61,0.7010437946242203,376406.3522609165,3526007,36,8.592798546247652,3,0,1
4c309404,Raja-Soni,1,Construction,Tier2,189,0.5275360665267113,4160861.2919987906,-0.07747054552244081,0.8004405452405302,172,56,0.5322251094855274,1205712.0543865946,1366768,48,9.174764760127436,1,2,1
57b69199,Karpe Inc,7,Manufacturing,Tier1,43,0.46294577910623524,780045.674949474,-0.05453822693672128,0.3999261048338382,1858,36,0.6347588064822889,1470427.439527329,3657146,12,16.25926606998832,1,2,1
234d3694,Rattan-Atwal,9,Food,Tier1,177,0.4854516203556842,2760957.7608361146,0.4477942230280165,0.575850130121899,3859,54,0.7685149278497387,720525.6979390855,2798769,48,17.944365045820007,1,0,0
32ba29b5,Gill and Sons,1,Construction,Tier2,29,0.45488899903811664,3570640.929424551,-0.3887988846117648,0.8652604841857816,3746,84,0.6273018285504699,333357.404651925,4733340,12,13.342091539643363,4,0,1
15b248cc,"Rajagopal, Doctor and Warrior",12,Food,Tier3,106,0.4370775341986104,4309946.362343959,0.24111177646967952,0.8704028129063867,2073,64,0.8249029905218097,579370.8820376027,4631464,12,10.036512215937286,2,0,0
57f28bd1,"Choudhry, Prabhu and Ghosh",8,Technology,Tier2,120,0.39143677680850425,4681049.523000987,-0.26868756382144976,0.7547835611848017,396,51,0.8773453286659111,1866818.5870112597,4668186,12,20.625218304390778,3,1,0
d9a3ba8b,"Dasgupta, Datta and Handa",11,Manufacturing,Tier3,81,0.9537678922566666,3933967.576621216,0.4232156507110494,0.23863004452371106,2955,2,0.5256357391888347,721321.4299842147,3923162,36,14.99078059540551,2,1,0
c5e8af0c,Kota-Bedi,19,Services,Tier1,31,0.40093262473430713,3281500.5711989095,0.3785732659579123,0.7072545266185504,1454,76,0.6429651449696803,224324.16964017524,4681649,12,18.55715008428804,1,0,0
8d78ba0c,Sharma-Randhawa,17,Services,Tier3,181,0.4430826423358753,2196419.422298191,0.09992102741120057,0.14098858911235096,233,6,0.974646625615636,174625.75022216447,4137678,60,18.578118528257882,1,2,0
